id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
1,151,464,0,57231.26715732528,56852.93445304145,"(86, 384, 219, 545)",15897,G2,0,0,-1
12,150,462,1,57029.5984375,57020.275625,"(84, 384, 219, 543)",16000,G2,0,0,-1
24,153,459,2,57803.81470916532,57622.89309190128,"(87, 382, 223, 539)",16126,G2,0,0,-1
36,157,454,3,57597.81954058193,57536.82597243492,"(91, 377, 228, 534)",16325,G2,0,0,-1
48,162,450,4,57694.11494670543,57722.72934835271,"(97, 370, 232, 530)",16512,G2,0,0,-1
59,164,445,5,58098.46677471637,58075.792784680954,"(99, 365, 234, 525)",16659,G2,0,0,-1
70,167,438,6,58008.259865836706,58041.54807517979,"(101, 361, 237, 518)",16547,G2,0,0,-1
81,169,436,7,58116.643717832274,58058.97808053285,"(105, 357, 238, 517)",16515,M,0,0,-1
93,168,433,8,58055.17034470181,58325.164569274726,"(102, 355, 235, 514)",16449,G2,0,0,-1
105,167,432,9,58176.93167054786,58430.72263757813,"(100, 356, 236, 512)",16318,G2,0,0,-1
118,169,425,10,58237.175402342036,58463.40791533596,"(102, 349, 237, 504)",15969,G2,0,0,-1
130,171,426,11,58202.04318463445,58598.96852540273,"(102, 350, 239, 504)",16140,G2,0,0,-1
142,170,425,12,58108.401221995926,58457.420888492874,"(103, 351, 237, 504)",15712,G2,0,0,-1
154,170,424,13,57955.84818304172,58509.92200538358,"(106, 352, 235, 502)",14860,G2,0,0,-1
166,161,429,14,57526.06128515893,58308.67482277613,"(97, 360, 225, 497)",13119,G2,0,0,-1
178,153,442,15,52027.99229583975,52312.85342835131,"(97, 381, 230, 507)",10384,G2,0,0,-1
190,110,434,16,33751.5726056338,29337.767147887324,"(8, 340, 210, 527)",28400,G2,0,0,-1
203,115,430,17,33659.062272655385,35544.75925193737,"(23, 339, 208, 522)",25292,G2,0,0,-1
214,123,424,18,32836.23467798249,35359.01101144116,"(45, 346, 203, 496)",18617,G2,0,0,-1
226,121,426,19,30667.485918972332,34724.75203804348,"(48, 356, 195, 494)",16192,G2,0,0,-1
2,203,657,0,38152.832584875156,18896.991198131847,"(145, 591, 257, 722)",11134,S,1,1,-1
13,200,654,1,38172.555979079865,19737.386224625476,"(140, 589, 257, 720)",11281,S,1,1,-1
25,201,654,2,38169.41141801548,19963.440798733285,"(141, 591, 259, 720)",11368,S,1,1,-1
37,202,650,3,37962.10002655572,20618.319376825704,"(142, 587, 260, 716)",11297,S,1,1,-1
49,205,645,4,38516.798761061946,21136.707079646018,"(143, 584, 264, 710)",11300,S,1,1,-1
60,206,645,5,38303.62553840632,21772.5742103374,"(147, 584, 267, 710)",11144,S,1,1,-1
71,206,641,6,38426.839480752016,22087.69024171889,"(147, 580, 267, 706)",11170,G2,1,1,-1
82,204,637,7,38844.61582694414,22812.74059875867,"(145, 577, 259, 702)",10956,G2,1,1,-1
94,202,637,8,38669.19745506318,23327.526339206266,"(141, 575, 264, 701)",11238,G2,1,1,-1
106,199,635,9,39233.82426664245,23909.62310416856,"(139, 574, 265, 696)",11011,G2,1,1,-1
119,194,632,10,39517.23782754556,24759.38317163841,"(135, 570, 251, 691)",11029,M,1,1,-1
131,188,632,11,39400.3142726441,24993.1153705398,"(130, 572, 246, 689)",10930,M,1,1,-1
143,187,632,12,40204.06644246501,26377.202145064533,"(130, 571, 244, 690)",11002,M,1,1,-1
155,182,633,13,40798.66714697406,27757.175792507205,"(125, 572, 240, 693)",11104,M,1,1,-1
167,178,634,14,42564.59679441261,30364.45334885387,"(119, 573, 236, 695)",11168,G2,1,1,-1
179,174,631,15,49311.09399198932,33839.403827325325,"(114, 571, 233, 689)",11235,G2,1,1,-1
191,172,630,16,53342.20269796776,36522.70366152768,"(111, 570, 230, 689)",11416,G2,1,1,-1
204,170,629,17,53815.91027227723,39898.45703677511,"(111, 561, 228, 689)",11312,G2,1,1,-1
215,165,630,18,54465.718871057,41824.11575355101,"(107, 568, 223, 688)",10842,G2,1,1,-1
227,161,628,19,54175.58940155322,42670.44888076747,"(103, 568, 219, 684)",10945,M,1,1,-1
3,429,809,0,2472.2972377123588,56595.84632343405,"(361, 763, 496, 854)",7711,G1,2,2,-1
14,429,803,1,2594.6455610021785,57713.44376361656,"(368, 758, 496, 846)",7344,G1,2,2,-1
26,432,800,2,2653.6552057442696,57510.99516708092,"(371, 756, 493, 843)",7242,G1,2,2,-1
38,435,800,3,2680.248033126294,57152.64886128365,"(370, 756, 494, 844)",7245,G1,2,2,-1
50,434,798,4,2708.362816131237,57287.23308270676,"(374, 753, 498, 841)",7315,G1,2,2,-1
61,435,800,5,2705.5971896955502,57225.78605868577,"(372, 756, 500, 843)",7259,G1,2,2,-1
72,434,801,6,2713.3080990815474,57294.9173392708,"(372, 758, 498, 843)",7186,G1,2,2,-1
83,432,799,7,2742.4560941828254,57342.18074792244,"(371, 755, 491, 842)",7220,G1,2,2,-1
95,429,800,8,2817.9220367048433,57193.219677107765,"(370, 757, 489, 843)",7247,G1,2,2,-1
107,427,800,9,2836.54459833795,57142.793490304706,"(367, 758, 488, 845)",7220,G1,2,2,-1
120,429,798,10,2830.9687242798354,57041.64115226337,"(366, 756, 492, 841)",7290,G1,2,2,-1
132,423,798,11,2862.661987041037,57195.32437904968,"(360, 754, 483, 842)",7408,G1,2,2,-1
144,422,796,12,2922.9010755543754,57042.01633249236,"(359, 753, 483, 839)",7531,G1,2,2,-1
156,425,798,13,3002.342320261438,57135.98052832244,"(362, 754, 486, 842)",7344,G1,2,2,-1
168,420,797,14,3219.5909816440544,56828.860069167335,"(357, 753, 483, 842)",7518,G1,2,2,-1
180,422,796,15,3679.5354166666666,57112.0453125,"(359, 751, 483, 843)",7680,G1,2,2,-1
193,420,795,16,4176.9748756536155,55999.91735747991,"(357, 746, 485, 844)",7841,M,2,2,-1
205,415,791,17,4297.067642866399,55813.07256705974,"(351, 741, 475, 841)",7717,M,2,2,-1
216,413,793,18,4330.813764118729,53701.436038875756,"(346, 742, 474, 845)",7614,M,2,2,-1
228,416,795,19,4293.491109121146,49011.74363566586,"(348, 744, 480, 847)",7817,M,2,2,-1
4,455,595,0,1985.1453121601044,54970.455405699366,"(390, 532, 504, 661)",9194,G1,3,3,-1
15,449,594,1,2125.2350482315114,54866.031618435154,"(387, 531, 501, 665)",9330,G1,3,3,-1
27,452,592,2,2096.375354726042,55266.1776904606,"(400, 530, 505, 661)",9162,G1,3,3,-1
39,450,591,3,2138.8300118496177,54541.78562964559,"(385, 528, 505, 661)",9283,G1,3,3,-1
51,449,585,4,2009.7689461883408,55908.369730941704,"(397, 524, 506, 649)",8920,G1,3,3,-1
62,443,586,5,2011.8341159768484,54799.55749699684,"(386, 523, 490, 661)",9157,G1,3,3,-1
73,441,578,6,1985.603118434148,54357.716355191864,"(383, 516, 499, 647)",9043,G1,3,3,-1
84,441,578,7,2007.6799464345497,54547.96875348734,"(390, 517, 501, 634)",8961,G1,3,3,-1
96,439,579,8,2004.083427156046,54552.67845079937,"(388, 518, 501, 634)",8882,G1,3,3,-1
108,436,582,9,2057.5892125373794,53943.635729316644,"(381, 520, 489, 635)",9029,G1,3,3,-1
121,437,580,10,1996.0786877978499,54182.667073035576,"(384, 518, 491, 632)",9023,G1,3,3,-1
133,439,583,11,2079.678697571744,53537.74547461369,"(388, 522, 497, 634)",9060,G1,3,3,-1
145,442,584,12,2028.8220189552567,54486.57163323782,"(390, 524, 502, 636)",9074,G1,3,3,-1
157,446,584,13,1965.7882286361064,56028.5766836446,"(393, 525, 507, 633)",8835,G1,3,3,-1
169,447,583,14,2231.8686759956945,55491.943487621094,"(388, 524, 510, 634)",9290,G1,3,3,-1
181,450,586,15,2483.65625,55653.73032407407,"(387, 527, 514, 636)",9504,G1,3,3,-1
194,453,586,16,2774.2466761894298,57738.18690253818,"(399, 525, 516, 639)",9101,G1,3,3,-1
206,456,584,17,2669.2329677633766,58489.91337099812,"(402, 525, 513, 639)",9027,G1,3,3,-1
217,456,585,18,2710.3073660714285,58022.49553571428,"(400, 526, 518, 640)",8960,G1,3,3,-1
229,457,584,19,2604.4247112905036,58581.76241731136,"(402, 525, 511, 641)",8919,G1,3,3,-1
5,579,572,0,2120.4391392920807,56067.620448179274,"(507, 534, 640, 622)",7854,G1,4,4,-1
16,579,573,1,2206.6457837363737,55522.75090840747,"(496, 534, 640, 624)",7981,G1,4,4,-1
28,579,573,2,2114.3324648254297,56245.32829598749,"(509, 531, 636, 623)",7676,G1,4,4,-1
40,577,570,3,2057.9568288854002,56831.4171899529,"(509, 527, 634, 621)",7644,G1,4,4,-1
52,576,569,4,2100.3971914455037,56145.47371811389,"(504, 526, 633, 621)",7762,G1,4,4,-1
63,566,572,5,2147.3646504709964,55844.89700049579,"(493, 532, 627, 625)",8068,G1,4,4,-1
74,564,569,6,2007.074685138539,56464.389168765745,"(493, 529, 624, 618)",7940,G1,4,4,-1
85,567,570,7,1981.0861376192868,56809.72225012557,"(498, 529, 624, 618)",7964,G1,4,4,-1
